Placering;All time;Rytter;Point;Nationalitet;Hold;Årgang
83;841;Daryl Impey;67;Sydafrika;Israel - Premier Tech;1984
84;848;Marc Hirschi;66;Schweiz;UAE Team Emirates;1998
85;863;Sergio Higuita;64;Colombia;BORA - hansgrohe;1997
86;880;Alberto Bettiol;63;Italien;EF Education-EasyPost;1993
86;880;Tim Merlier;63;Belgien;Soudal - Quick Step;1992
88;895;Michael Valgren;61;Danmark;EF Education-NIPPO Development Team;1992
89;908;Alexey Lutsenko;60;Kasakhstan;Astana Qazaqstan Team;1992
90;931;Heinrich Haussler;58;Australien;Bahrain - Victorious;1984
91;940;Omar Fraile;57;Spanien;INEOS Grenadiers;1990
92;948;Marc Soler;56;Spanien;UAE Team Emirates;1993
93;959;Ben O'Connor;55;Australien;AG2R Citroën Team;1995
93;959;Tony Gallopin;55;Frankrig;Trek - Segafredo;1988
95;999;Ben Swift;52;Storbritannien;INEOS Grenadiers;1987
96;1016;Hugh Carthy;51;Storbritannien;EF Education-EasyPost;1994
96;1016;Davide Formolo;51;Italien;UAE Team Emirates;1992
96;1016;Tiesj Benoot;51;Belgien;Jumbo-Visma;1994
99;1075;Victor Campenaerts;48;Belgien;Lotto Dstny;1991
99;1075;Giulio Ciccone;48;Italien;Trek - Segafredo;1994
99;1075;Oliver Naesen;48;Belgien;AG2R Citroën Team;1990
99;1075;Christophe Laporte;48;Frankrig;Jumbo-Visma;1992
103;1095;Simon Clarke;47;Australien;Israel - Premier Tech;1986
104;1127;Emanuel Buchmann;45;Tyskland;BORA - hansgrohe;1992
104;1127;Tobias Foss;45;Norge;Jumbo-Visma;1997
107;1175;Rein Taaramae;42;Estland;Intermarché - Circus - Wanty;1987
107;1175;Tom Pidcock;42;Storbritannien;INEOS Grenadiers;1999
106;1148;Søren Kragh Andersen;44;Danmark;Alpecin-Deceuninck;1994
109;1224;Alessandro De Marchi;39;Italien;Team Jayco AlUla;1986
110;1241;Jonathan Castroviejo;38;Spanien;INEOS Grenadiers;1987
111;1258;Louis Meintjes;37;Sydafrika;Intermarché - Circus - Wanty;1992
111;1258;Gianni Moscon;37;Italien;Astana Qazaqstan Team;1994
113;1284;Patrick Konrad;35;Østrig;BORA - hansgrohe;1991
113;1284;George Bennett;35;New Zealand;UAE Team Emirates;1990
113;1284;Nils Politt;35;Tyskland;BORA - hansgrohe;1994
116;1307;David de la Cruz;34;Spanien;Astana Qazaqstan Team;1989
117;1322;Guillaume Martin;33;Frankrig;Cofidis;1993
117;1322;Fausto Masnada;33;Italien;Soudal - Quick Step;1993
117;1322;Jesus Herrada;33;Spanien;Cofidis;1990
120;1344;Koen Bouwman;32;Nederlandene;Jumbo-Visma;1993
120;1344;Jack Haig;32;Australien;Bahrain - Victorious;1993
120;1344;Pavel Sivakov;32;Frankrig;INEOS Grenadiers;1997
120;1344;Jay Vine;32;Australien;UAE Team Emirates;1995
124;1366;Gino Mader;31;Schweiz;Bahrain - Victorious;1997
125;1390;Juan Ayuso;30;Spanien;UAE Team Emirates;2002
126;1408;Michael Storer;29;Australien;Groupama - FDJ;1997
126;1408;Nikias Arndt;29;Tyskland;Bahrain - Victorious;1991
128;1426;Silvan Dillier;28;Schweiz;Alpecin-Deceuninck;1990
128;1426;Andrey Amador;28;Costa Rica;EF Education-EasyPost;1986
128;1426;Sepp Kuss;28;USA;Jumbo-Visma;1994
128;1426;Biniam Girmay;28;Eritrea;Intermarché - Circus - Wanty;2000
128;1426;Mike Teunissen;28;Nederlandene;Intermarché - Circus - Wanty;1992
133;1469;Lennard Kamna;27;Tyskland;BORA - hansgrohe;1996
134;1494;Geoffrey Bouchard;26;Frankrig;AG2R Citroën Team;1992
134;1494;Benoit Cosnefroy;26;Frankrig;AG2R Citroën Team;1995
136;1531;Juan Pedro Lopez;25;Spanien;Trek - Segafredo;1997
137;1552;Daniel Navarro;24;Spanien;Burgos-BH;1983
137;1552;Enrico Battaglin;24;Italien;-;1989
137;1552;Luka Mezgec;24;Slovenien;Team Jayco AlUla;1988
140;1604;Neilson Powless;23;USA;EF Education-EasyPost;1996
140;1604;Maciej Bodnar;23;Polen;TotalEnergies;1985
140;1604;Ethan Hayter;23;Storbritannien;INEOS Grenadiers;1998
143;1638;Felix Grossschartner;22;Østrig;UAE Team Emirates;1993
143;1638;Remi Cavagna;22;Frankrig;Soudal - Quick Step;1995
143;1638;Fabio Felline;22;Italien;Astana Qazaqstan Team;1990
143;1638;Simon Geschke;22;Tyskland;Cofidis;1986
143;1638;Jose Joaquin Rojas;22;Spanien;Movistar Team;1985
148;1659;Ruben Guerreiro;21;Portugal;Movistar Team;1994
148;1659;Matteo Rabottini;21;Italien;-;1987
148;1659;Jan Polanc;21;Slovenien;UAE Team Emirates;1992
148;1659;Darwin Atapuma;21;Colombia;Beykoz Team-Turkey;1988
152;1694;Valerio Conti;20;Italien;Team Corratec;1993
152;1694;Gorka Izagirre;20;Spanien;Movistar Team;1987
152;1694;Gianluca Brambilla;20;Italien;Q36.5 Pro Cycling Team;1987
152;1694;Lilian Calmejane;20;Frankrig;Intermarché - Circus - Wanty;1992
152;1694;Nans Peters;20;Frankrig;AG2R Citroën Team;1994
152;1694;Jelle Wallays;20;Belgien;Cofidis;1989
152;1694;Jens Keukeleire;20;Belgien;EF Education-EasyPost;1988
152;1694;Stefan Bissegger;20;Schweiz;EF Education-EasyPost;1998
160;1775;Pierre Latour;19;Frankrig;TotalEnergies;1993
160;1775;Florian Senechal;19;Frankrig;Soudal - Quick Step;1993
162;1805;Dario Cataldo;18;Italien;Trek - Segafredo;1985
162;1805;Jan Tratnik;18;Slovenien;Jumbo-Visma;1990
